investment_id,title,investment_strategy,term,offering_type
17,Suburban Atlanta Cash Flowing Multifamily,Value Add,5,Equity
11,Brooklyn Redevelopment,Value Add,10,Equity
192,Cash-Flowing Seattle Area Office Portfolio,Value Add,3,Equity
70,Cash Flowing Texas Multifamily Portfolio (Allocation II),Core,5,Equity
344,"Tidal Wave Car Wash - Tampa Bay, FL (Oldsmar)",Opportunistic,36,Preferred Equity
391,Starwood Infrastructure Debt Fund,Value Add,7,Senior Debt
393,Long Island - Self-Storage Development,Opportunistic,48,Equity
181,Preferred Equity - West Hollywood Townhomes Development,Opportunistic,24,Preferred Equity
169,Downtown Manhattan Luxury Townhouse,Core,12,Preferred Equity
18,Cash Flowing Tampa Bay Industrial Park,Value Add,5,Equity
110,Seattle Luxury Townhomes Development,Opportunistic,24,Equity
173,Mid-City LA Multifamily Value Add - 18th Street,Value Add,3,Equity
166,Cash-Flowing TWU Student Housing,Value Add,3,Equity
559,Jacksonville Value-Add Multifamily,Value Add,24,Preferred Equity
74,Cash Flowing Boston Mixed Use Property,Value Add,5,Equity
560,Luxury Single Family Homes Development,Opportunistic,24,Preferred Equity
113,Cash-Flowing New Jersey Multifamily,Value Add,3,Preferred Equity
179,Preferred Equity - Ole Miss Student Housing,Value Add,2,Preferred Equity
172,Cash-Flowing Manhattan Multifamily,Value Add,5,Equity
196,Chicago Area Office and Data Center Loan,Value Add,12,Senior Debt
441,HFZ Lionbridge Fund,Value Add,18,Equity
446,Preferred Equity - Boston Condo Development Close III,Opportunistic,12,Preferred Equity
23,Cash Flowing Brooklyn Multifamily,Value Add,5,Equity
111,Cash Flowing Philadelphia Multifamily,Value Add,60,Equity
183,Mid-City LA Multifamily Value Add - 4th Avenue,Value Add,2,Equity
20,1557 Lexington Avenue,Value Add,5,Equity
24,Cash Flowing Miami Beach Retail,Value Add,5,Equity
115,Milwaukee Mixed-Use Office and Retail,Value Add,5,Equity
22,Milwaukee Value Add Office,Value Add,5,Equity
27,"Cash Flowing Student Housing Complex - Greensboro, NC",Value Add,5,Equity
245,Cash-Flowing Baltimore-Washington Office Park,Core-Plus,3,Equity
189,Starcity Co-Living San Francisco Redevelopment,Opportunistic,3,Equity
129,West Hollywood Luxury Condo Conversion,Value Add,18,Equity
563,Stonegrove Fall Creek,Core-Plus,3,Equity
345,"Macon, Georgia - Amazon Warehouse DST",Core,5,Equity
69,Echo Park Residential Development,Opportunistic,18,Preferred Equity
116,Cash-Flowing Memphis Office and Multifamily,Core,5,Equity
77,Getaway Leased Campground II,Opportunistic,5,Preferred Equity
385,St. George Boulder Creek Predevelopment Loan,Opportunistic,12,Senior Debt
467,"Houston, TX - Fairmont on San Felipe Apartments",Core-Plus,5,Equity
305,Park City Main Street Bridge Loan,Opportunistic,12,Senior Debt
112,The Saguaro Hotel Scottsdale Expansion,Opportunistic,3,Preferred Equity
167,Boston Mixed-Use Acquisition Loan,Value Add,12,Senior Debt
507,"Houston, TX - Value-Add Multifamily Recapitalization",Value Add,24,Preferred Equity
462,"Houston, TX - Value-Add Multifamily Recapitalization",Value Add,24,Preferred Equity
206,Preferred Equity - Williamsburg Mixed-Use Office & Retail,Value Add,24,Preferred Equity
439,Starwood Real Estate Income Trust (SREIT),Core,12,Equity
449,"Houston, TX - Multifamily Portfolio Recapitalization",Value Add,24,Preferred Equity
438,"Dallas, TX - Park Hollow Residences",Value Add,36,Senior Equity
565,The Quinn,Value Add,36,Preferred Equity
184,Park City Main Street Bridge Loan,Opportunistic,12,Senior Debt
514,Boston Metro - Assisted Living Facility,Opportunistic,10,Senior Debt
299,Downtown Greenville - The McClaren (EM 86),Opportunistic,10,Equity
207,Preferred Equity - Delray Beach Luxury Townhome Development,Opportunistic,20,Preferred Equity
247,Preferred Equity - Miami Metro Industrial,Value Add,18,Preferred Equity
341,Brooklyn Designer Luxury Condo (Follow-On),Opportunistic,2,Preferred Equity
197,Preferred Equity - Cash-Flowing Hyatt Place Hotel,Value Add,3,Preferred Equity
557,Waterford Grove GP Multifamily,Value Add,5,Equity
188,"Preferred Equity - Washington, D.C. Condo Redevelopment",Opportunistic,9,Preferred Equity
342,Nevada - Industrial and Retail NNN,Opportunistic,24,Preferred Equity
186,Cash-Flowing Midwest Multifamily Portfolio,Value Add,3,Equity
561,South Florida Value-Add Condo Rental,Value Add,48,Equity
68,Getaway Leased Cash Flowing Campground,Opportunistic,3,Preferred Equity
254,Cash-Flowing Sheraton Hotel,Core,5,Equity
388,"Hartford, CT - Last Mile Industrial Facility",Core-Plus,36,Equity
553,Colony Hills Multifamily GP Fund,Value Add,5,Equity
643,Somerset Green Single Family Home Development,Opportunistic,12,Equity
261,Boston Metro Assisted Living Facility Senior Loan,Value Add,20,Senior Debt
346,Chicago - Multifamily Portfolio,Core-Plus,36,Preferred Equity
187,"Cash-Flowing Washington, D.C. Area Office",Value Add,3,Equity
444,Los Angeles - Melrose Co-Living,Opportunistic,23,Preferred Equity
258,"Tidal Wave Car Wash - Roswell, GA (B)",Opportunistic,36,Preferred Equity
303,"Tidal Wave Car Wash - Tampa Bay, FL (Oldsmar)",Opportunistic,36,Preferred Equity
508,"Houston, TX - Value-Add Multifamily (Allocation II)",Value Add,22,Preferred Equity
426,Manhattan - Luxury Condo,Opportunistic,10,Mezzanine Debt
262,Chicago Metro Office (Equity Participation),Core-Plus,24,Equity
551,Echo Park Multifamily Senior Loan,Value Add,24,Senior Debt
194,Preferred Equity - Boston Condo Development,Opportunistic,2,Preferred Equity
340,"St. George, UT - Boulder Creek Predevelopment Loan",Opportunistic,12,Senior Debt
641,Jacksonville Medical Office,Core-Plus,60,Equity
550,Crossings at Elver Park,Value Add,24,Equity
384,National Stabilized Multifamily Fund - Continental Properties,Core,10,Equity
339,Downtown Greenville - The McClaren,Opportunistic,10,Equity
297,Preferred Equity - Brooklyn Designer Luxury Condo,Opportunistic,4,Preferred Equity
204,Historic Detroit Office Senior Bridge Loan,Value Add,4,Senior Debt
348,"Tidal Wave Car Wash - Tampa Bay, FL (Lutz)",Opportunistic,39,Preferred Equity
429,Chicago - Multifamily Property,Core-Plus,24,Preferred Equity
208,Opportunity Zone - Metro Phoenix Industrial,Opportunistic,10,Equity
202,Downtown Brooklyn Residential Loan,Opportunistic,20,Mezzanine Debt
465,Trevian Capital Debt Fund,Value Add,3,Senior Debt
257,Preferred Equity - Orlando Metro Triple-Net Addiction Treatment Facility,Value Add,24,Preferred Equity
296,Arbor Crest Value-Add Multifamily,Value Add,4,Equity
464,"Houston, TX - Stabilized Multifamily Recapitalization",Core,36,Equity
205,"Tidal Wave Car Wash - Pace, FL",Opportunistic,36,Preferred Equity
440,"Tidal Wave Car Wash - Foley, AL (B)",Opportunistic,36,Preferred Equity
473,"Albuquerque, NM - Netherwood Village",Value Add,42,Preferred Equity
509,Chronos Stabilized Multifamily Fund,Value Add,4,Equity
461,Atlanta Medical Office Portfolio,Value Add,12,Preferred Equity
347,South Florida - Self Storage Portfolio,Core-Plus,24,Preferred Equity
243,Preferred Equity - Chicago Metro Office,Core-Plus,24,Preferred Equity
306,"Columbus, OH - Courtyard by Marriott Hotel Loan",Value Add,24,Senior Debt
180,Cash-Flowing Connecticut Luxury Apartments,Value Add,5,Equity
389,"Tidal Wave Car Wash - Foley, AL",Opportunistic,36,Preferred Equity
302,Preferred Equity - Tampa Bay Senior Living Facility,Value Add,29,Preferred Equity
460,"Tidal Wave Car Wash - Ocala, FL",Opportunistic,36,Preferred Equity
515,Government Office Redevelopment,Opportunistic,18,Preferred Equity
427,"Tidal Wave Car Wash - Tampa Bay, FL (Lutz)",Opportunistic,39,Preferred Equity
386,Indianapolis - Staybridge Suites Loans,Value Add,70,Mezzanine Debt
562,Los Altos Trinity Green Apartments,Core,10,Equity
343,New Orleans - The Columns Hotel,Opportunistic,36,Preferred Equity
471,"Hightstown, NJ - Bank Street Predevelopment",Opportunistic,18,Preferred Equity
253,Cash-Flowing Jacksonville Multifamily,Core-Plus,5,Equity
251,"Tidal Wave Car Wash - Roswell, GA",Opportunistic,36,Preferred Equity
301,Atlanta Mixed Use Office & Hotel,Opportunistic,10,Equity
176,Preferred Equity - Grand Rapids Manufactured Housing,Opportunistic,2,Preferred Equity
606,The Residences at Whispering Pines,Value Add,24,Equity
431,Distressed Opportunity Fund,Value Add,10,Debt + Equity
600,Kirby Pointe Apartments,Opportunistic,12,Preferred Equity
516,Boston Area Triple-Net Dispensary,Opportunistic,36,Preferred Equity
564,Clermont Apartments,Value Add,36,Preferred Equity
474,Oklahoma City - AT&T Net Lease,Value Add,36,Preferred Equity
428,"Macon, Georgia - Amazon Warehouse",Core,55,Equity
190,Preferred Equity - Cash-Flowing Chicago Area Office,Core-Plus,3,Preferred Equity
602,Montrose District Portfolio,Value Add,12,Preferred Equity
182,Preferred Equity - Cash-Flowing Houston Multifamily,Value Add,3,Preferred Equity
31,Upper Manhattan Multifamily and Retail Portfolio,Core,5,Equity
549,Pre-IPO Triple Net Lease REIT,Core,24,Equity
198,Triple-Net Rite Aid Senior Bridge Loan,Opportunistic,12,Senior Debt
382,Brooklyn Designer Luxury Condo (Extension Funding),Opportunistic,6,Preferred Equity
259,Palm Springs - Addiction Treatment Facility,Core-Plus,10,Preferred Equity
552,Class A Medical Office,Core-Plus,60,Equity
642,Stone Creek at Wekiva,Value Add,24,Preferred Equity
605,Pelorus Cannabis Debt Fund,Value Add,12,Equity
513,Hudson Yards Luxury Condo,Opportunistic,10,Mezzanine Debt
